escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,recepciones,toques_largos,dificultad_media,demora_sobre_cadencia,demora_media_ticks,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,53.0,6.0,0.24044174980836,0.96995708154506,4.80851063829787,2.0,2.0,0.0,6.0,53.5874439461883,47.0,17.0,64.0,3.0,0.0,0.0,1.0,0.0,960.0,92.6447572416653,0.0,960.0,53.309265944645,13.4375,30.0,3.69166666666667,5.0,40.4744350036345,20816.7795026259,454.156,486.586
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,43.0,3.0,0.26465851505723,0.96698113207547,5.125,2.0,1.0,1.0,8.0,49.3478260869565,36.0,20.0,53.0,1.0,0.0,0.0,1.0,0.0,968.0,92.9368800388178,0.0,968.0,52.954808806489,10.8471074380165,34.0,3.36029411764706,8.0,39.5629368159325,21642.0243279398,437.052,476.126
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,51.0,3.0,0.241447985339,0.97590361445783,5.0625,2.0,1.0,1.0,10.0,52.5700934579439,49.0,16.0,59.0,2.0,0.0,0.0,1.0,0.0,971.0,93.1824899743514,0.0,971.0,52.3985239852399,16.2718846549948,30.0,3.55,7.0,40.8841329105607,20833.0131278316,428.354,480.59
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,44.0,3.0,0.25921255128842,0.97716894977169,5.21951219512195,0.0,0.0,0.0,9.0,46.119733924612,43.0,14.0,53.0,3.0,0.0,0.0,2.0,0.0,975.0,91.942334596652,0.0,975.0,55.5555555555556,17.8461538461538,35.0,3.17857142857143,8.0,36.6535366826136,20183.5193322092,439.438,467.28
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,52.0,1.0,0.2071866941942,0.94795539033457,5.0,5.0,5.0,0.0,9.0,53.6997885835095,50.0,20.0,57.0,1.0,0.0,0.0,1.0,0.0,963.0,92.4843593802249,0.0,963.0,59.8978288633461,18.6915887850467,34.0,3.44852941176471,2.0,35.7203971184194,20128.4792355595,435.308,473.898
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,47.0,1.0,0.22922556141659,0.94859813084112,4.41304347826087,3.0,1.0,2.0,10.0,43.4988179669031,45.0,10.0,56.0,0.0,0.0,0.0,0.0,0.0,960.0,93.3548761281894,0.0,960.0,50.8413461538462,13.3333333333333,34.0,3.11029411764706,8.0,38.0749277862312,21254.1410703897,427.55,468.816
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,45.0,6.0,0.21844695017663,0.93582887700535,4.48717948717949,2.0,2.0,0.0,11.0,53.6193029490617,42.0,13.0,54.0,4.0,0.0,0.0,1.0,0.0,967.0,93.9620285813308,0.0,967.0,48.8771466314399,21.7166494312306,29.0,3.18965517241379,4.0,38.4935516812578,19825.2298763883,410.74,442.155
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,60.0,1.0,0.23103711415841,0.94890510948905,4.40677966101695,3.0,3.0,0.0,11.0,63.5658914728682,59.0,8.0,69.0,1.0,0.0,1.0,1.0,0.0,964.0,93.9334107485929,0.0,964.0,49.23273657289,18.8796680497925,20.0,4.8125,1.0,40.5936968623076,19064.0392028429,430.385,467.927
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,46.0,3.0,0.21275627522635,0.97222222222222,4.88372093023256,6.0,5.0,1.0,11.0,57.0666666666667,44.0,9.0,51.0,3.0,0.0,0.0,0.0,1.0,982.0,93.8581869585812,0.0,982.0,51.1049723756906,26.2729124236253,23.0,4.02173913043478,3.0,37.1157440534365,18125.6778176163,392.354,496.799
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,54.0,2.0,0.23830638035943,0.95,4.75,4.0,4.0,0.0,9.0,58.0717488789238,47.0,17.0,64.0,1.0,0.0,0.0,0.0,0.0,960.0,92.436149752612,0.0,960.0,56.7049808429119,18.4375,31.0,3.58064516129032,7.0,38.977680884531,18800.5011132337,419.163,464.846
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,50.0,5.0,0.23204715542523,0.93220338983051,4.88888888888889,2.0,2.0,0.0,6.0,56.8134171907757,45.0,18.0,55.0,2.0,0.0,0.0,1.0,0.0,970.0,92.3291033351106,0.0,970.0,56.3463819691578,13.0927835051546,31.0,3.83064516129032,7.0,41.7367593604738,20332.6833687757,437.781,480.496
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,58.0,1.0,0.25719907139962,0.98976109215017,5.08771929824561,3.0,2.0,1.0,8.0,46.5174129353234,57.0,5.0,63.0,2.0,0.0,0.0,1.0,0.0,965.0,93.5855067698,0.0,965.0,50.187265917603,16.9948186528497,18.0,5.58333333333333,0.0,37.5702497306269,20291.6738482724,425.374,463.015
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,36.0,3.0,0.23839505451196,0.98924731182796,5.57575757575758,2.0,2.0,0.0,6.0,59.2827004219409,32.0,14.0,41.0,3.0,0.0,0.0,0.0,0.0,1003.0,92.2460156467769,0.0,1003.0,58.0445544554455,19.4416749750748,28.0,4.1875,5.0,42.8549887691087,18269.7427578543,420.255,462.242
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,38.0,4.0,0.25923119108436,1.0,5.91176470588235,2.0,1.0,1.0,3.0,52.2012578616352,29.0,28.0,43.0,4.0,1.0,0.0,4.0,0.0,965.0,93.3117214551656,0.0,965.0,58.7577639751553,16.580310880829,43.0,2.75,14.0,41.4599464656708,19730.4957091901,429.875,463.196
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,44.0,3.0,0.23870492250538,0.99130434782609,5.5609756097561,2.0,1.0,1.0,9.0,53.864168618267,44.0,9.0,50.0,1.0,0.0,0.0,0.0,0.0,989.0,93.5962928710466,0.0,989.0,51.0204081632653,15.7735085945399,26.0,4.08653846153846,4.0,41.4907506890566,20552.131390077,435.906,486.294
D1 parejo,1,1,Presion alta,Contragolpe,77139,true,44.0,1.0,0.26180354855976,1.0156862745098,6.02325581395349,1.0,0.0,1.0,8.0,48.2,41.0,16.0,47.0,3.0,0.0,0.0,3.0,0.0,964.0,91.4411581223997,0.0,964.0,59.6618357487923,14.1078838174274,33.0,3.74242424242424,5.0,37.2637290795926,20720.5705739658,454.397,488.332
D1 parejo,1,1,Presion alta,Contragolpe,77152,true,34.0,0.0,0.26055777765592,1.00961538461538,6.17647058823529,0.0,0.0,0.0,5.0,54.7916666666667,32.0,25.0,49.0,3.0,0.0,0.0,3.0,0.0,960.0,92.9430835093792,0.0,960.0,55.7377049180328,11.0416666666667,37.0,3.21621621621622,4.0,38.4434727167296,22140.2776557926,445.09,492.251
D1 parejo,1,1,Presion alta,Contragolpe,77165,true,32.0,1.0,0.23710833579991,0.98181818181818,5.2258064516129,2.0,1.0,1.0,7.0,55.7562076749436,27.0,17.0,41.0,3.0,0.0,0.0,1.0,0.0,960.0,92.6797062578064,0.0,960.0,57.1428571428571,19.7916666666667,31.0,3.54838709677419,7.0,39.6459363331826,19708.3125931432,415.813,468.558
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,41.0,1.0,0.25129570901152,1.00921658986175,5.475,0.0,0.0,0.0,7.0,51.5011547344111,38.0,12.0,51.0,3.0,0.0,0.0,1.0,0.0,960.0,93.363166444146,0.0,960.0,53.7313432835821,16.25,28.0,3.85714285714286,2.0,39.2113031525047,20690.4524817944,440.909,462.739
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,49.0,3.0,0.28011058014784,1.02904564315353,5.39130434782609,4.0,3.0,1.0,8.0,57.177033492823,43.0,14.0,55.0,0.0,0.0,0.0,0.0,0.0,973.0,92.7790534333549,0.0,973.0,50.9135200974421,15.6217882836588,26.0,4.01923076923077,6.0,41.8974119976959,21002.8531488617,422.056,462.203
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,41.0,4.0,0.28028362681916,1.0377358490566,5.94594594594595,0.0,0.0,0.0,5.0,49.498997995992,35.0,28.0,51.0,2.0,0.0,0.0,1.0,1.0,985.0,92.4383936136186,0.0,985.0,56.9620253164557,11.7766497461929,41.0,3.01829268292683,8.0,40.6016020882009,20932.4155587304,433.164,482.682
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,44.0,1.0,0.26242736876553,1.02008032128514,5.90697674418605,3.0,3.0,0.0,9.0,57.8088578088578,42.0,10.0,48.0,5.0,0.0,0.0,1.0,0.0,995.0,92.4253524276697,0.0,995.0,56.2666666666667,24.6231155778894,25.0,4.22,3.0,40.4471903477965,18375.1917531697,421.462,469.289
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,33.0,2.0,0.23694295580203,0.97814207650273,5.7741935483871,3.0,2.0,1.0,6.0,54.1766109785203,31.0,16.0,38.0,3.0,0.0,0.0,1.0,0.0,960.0,92.3982502110623,0.0,960.0,55.2097428958051,23.0208333333333,29.0,3.51724137931034,6.0,42.5363112564083,18319.0121222627,421.795,423.079
D1 parejo,1,1,Presion alta,Contragolpe,77243,true,41.0,2.0,0.24804433435105,1.0,5.74358974358974,0.0,0.0,0.0,9.0,50.4807692307692,38.0,9.0,50.0,3.0,0.0,0.0,0.0,0.0,972.0,92.6326216584683,0.0,972.0,52.212389380531,18.6213991769547,25.0,4.13,2.0,39.6492072221871,19432.1166918613,429.402,451.533
D1 favorito,1,4,Tiki taka,Juego directo,77100,true,40.0,1.0,0.24482795892328,0.98507462686567,5.07692307692308,5.0,5.0,0.0,9.0,54.4,36.0,23.0,50.0,2.0,0.0,0.0,1.0,0.0,960.0,91.3625117248603,0.0,960.0,53.6127167630058,27.9166666666667,29.0,3.19827586206897,6.0,39.6007951071535,16906.834333464,375.735,407.482
D1 favorito,1,4,Tiki taka,Juego directo,77113,true,46.0,4.0,0.22722761147156,0.95192307692308,4.71428571428571,5.0,5.0,0.0,9.0,59.4907407407407,43.0,19.0,52.0,3.0,0.0,0.0,3.0,1.0,984.0,91.6493065802086,0.0,984.0,57.8167115902965,24.5934959349594,30.0,3.575,6.0,40.083592690282,16967.144079724,399.484,433.141
D1 favorito,1,4,Tiki taka,Juego directo,77126,true,53.0,4.0,0.22303244988799,0.94901960784314,4.93877551020408,3.0,3.0,0.0,8.0,52.3809523809524,48.0,25.0,66.0,1.0,0.0,0.0,0.0,0.0,968.0,91.073179719137,0.0,968.0,57.4519230769231,14.0495867768595,40.0,2.9875,9.0,40.9987264206864,19629.6444206752,465.994,485.944
D1 favorito,1,4,Tiki taka,Juego directo,77139,true,50.0,4.0,0.27122509755944,1.0042735042735,5.10869565217391,2.0,2.0,0.0,5.0,57.4324324324324,46.0,20.0,57.0,3.0,0.0,0.0,2.0,0.0,1012.0,90.0872879485498,0.0,1012.0,54.5341614906832,20.4545454545455,33.0,3.32575757575758,5.0,35.8128259853547,18259.0830178442,444.895,485.37
D1 favorito,1,4,Tiki taka,Juego directo,77152,true,46.0,0.0,0.23987881647726,0.97424892703863,4.93478260869565,2.0,2.0,0.0,9.0,52.0987654320988,45.0,17.0,58.0,2.0,0.0,1.0,2.0,0.0,964.0,92.9619383406514,0.0,964.0,54.7814207650273,24.0663900414938,34.0,2.94852941176471,9.0,37.3021647830185,17901.5991591287,398.559,427.493
D1 favorito,1,4,Tiki taka,Juego directo,77165,true,55.0,1.0,0.22782080315224,0.99583333333333,4.42592592592593,5.0,4.0,1.0,7.0,58.7443946188341,49.0,20.0,68.0,2.0,0.0,1.0,1.0,0.0,960.0,91.6480588136773,0.0,960.0,59.0185676392573,21.4583333333333,34.0,3.27205882352941,6.0,37.3914251657363,17753.4185206668,436.838,462.715
D1 favorito,1,4,Tiki taka,Juego directo,77178,true,52.0,2.0,0.21034641436625,0.96186440677966,4.54,3.0,3.0,0.0,8.0,57.8163771712159,47.0,13.0,59.0,4.0,0.0,0.0,3.0,1.0,982.0,92.7693634304174,0.0,982.0,52.6595744680851,23.4215885947047,28.0,3.53571428571429,6.0,38.3144460380538,17347.1919569421,407.58,438.582
D1 favorito,1,4,Tiki taka,Juego directo,77191,true,48.0,2.0,0.23079499575668,0.99521531100478,4.52173913043478,6.0,6.0,0.0,10.0,67.5392670157068,47.0,10.0,60.0,1.0,0.0,0.0,1.0,0.0,972.0,92.1718890226562,0.0,972.0,52.3351648351648,25.1028806584362,24.0,3.96875,4.0,40.1592855636317,17336.9255555327,401.045,436.594
D1 favorito,1,4,Tiki taka,Juego directo,77204,true,51.0,4.0,0.20201865641546,0.95299145299145,4.74468085106383,4.0,4.0,0.0,12.0,60.6299212598425,50.0,11.0,60.0,1.0,0.0,0.0,0.0,0.0,965.0,92.4487523881972,0.0,965.0,52.0,24.8704663212435,28.0,3.36607142857143,5.0,39.225756864731,17763.0241483209,406.989,441.193
D1 favorito,1,4,Tiki taka,Juego directo,77217,true,49.0,0.0,0.24700171684224,1.00858369098712,4.79591836734694,5.0,5.0,0.0,10.0,64.3026004728132,47.0,14.0,60.0,5.0,1.0,1.0,1.0,0.0,995.0,91.7417525281838,0.0,995.0,60.3423680456491,29.5477386934673,31.0,3.41129032258065,4.0,37.5048608792002,17175.3945637448,398.246,437.639
D1 favorito,1,4,Tiki taka,Juego directo,77230,true,40.0,2.0,0.21625756455152,0.96116504854369,5.21052631578947,5.0,5.0,0.0,10.0,65.5086848635236,38.0,12.0,48.0,4.0,0.0,0.0,2.0,0.0,965.0,91.9176204060729,0.0,965.0,56.490727532097,27.3575129533679,28.0,3.53571428571429,4.0,41.4838790557689,17064.3943674794,397.326,418.396
D1 favorito,1,4,Tiki taka,Juego directo,77243,true,52.0,2.0,0.2443271612942,1.0,4.46,6.0,6.0,0.0,10.0,66.2650602409639,50.0,17.0,63.0,5.0,0.0,0.0,3.0,1.0,989.0,91.1370785443874,0.0,989.0,56.0975609756098,25.3791708796764,23.0,4.5,5.0,39.869661214253,16883.407055763,411.825,447.317
D1 favorito,1,4,Presion alta,Contragolpe,77100,true,27.0,5.0,0.27241018013296,1.04065040650407,5.81818181818182,7.0,7.0,0.0,9.0,70.7070707070707,20.0,23.0,38.0,5.0,0.0,0.0,0.0,0.0,960.0,90.2978232296331,0.0,960.0,58.8235294117647,30.9375,25.0,3.9,8.0,40.9981729375953,16073.1054335909,360.169,396.109
D1 favorito,1,4,Presion alta,Contragolpe,77113,true,39.0,3.0,0.24874101438566,0.98543689320388,5.63888888888889,3.0,3.0,0.0,10.0,62.4413145539906,34.0,14.0,44.0,7.0,0.0,0.0,2.0,1.0,991.0,92.2968002006551,0.0,991.0,59.9431818181818,28.9606458123108,26.0,4.05769230769231,7.0,41.0938927944908,16396.4210381418,368.943,406.115
D1 favorito,1,4,Presion alta,Contragolpe,77126,true,31.0,1.0,0.21289023898138,0.97849462365591,6.06666666666667,5.0,5.0,0.0,9.0,49.867374005305,31.0,14.0,39.0,5.0,0.0,0.0,1.0,0.0,961.0,91.7055228903689,0.0,961.0,56.3552833078101,32.0499479708637,25.0,3.68,6.0,42.2017955276575,15848.4958320186,356.763,392.675
D1 favorito,1,4,Presion alta,Contragolpe,77139,true,35.0,2.0,0.29922603243406,1.04419889502762,5.72727272727273,7.0,7.0,0.0,10.0,64.4329896907217,30.0,19.0,43.0,2.0,0.0,0.0,1.0,0.0,960.0,90.6873441623505,0.0,960.0,56.9940476190476,30.0,28.0,3.41964285714286,4.0,34.8011105503284,16195.0239345726,387.549,412.692
D1 favorito,1,4,Presion alta,Contragolpe,77152,true,33.0,1.0,0.25170642116338,1.02659574468085,6.03125,10.0,10.0,0.0,12.0,69.3208430913349,29.0,17.0,41.0,4.0,0.0,0.0,4.0,1.0,981.0,90.8177335321426,0.0,981.0,65.3312788906009,33.8430173292559,32.0,3.3125,4.0,33.2390379633567,14893.6146523102,384.881,416.017
D1 favorito,1,4,Presion alta,Contragolpe,77165,true,33.0,1.0,0.21407898554618,0.96551724137931,5.25,7.0,5.0,2.0,13.0,55.7213930348259,30.0,21.0,44.0,2.0,1.0,0.0,0.0,0.0,960.0,91.2456253419289,0.0,960.0,55.2486187845304,24.5833333333333,33.0,3.03030303030303,6.0,37.2129201420335,16469.0739918776,388.98,427.231
D1 favorito,1,4,Presion alta,Contragolpe,77178,true,34.0,1.0,0.18084064427115,0.93010752688172,5.24242424242424,4.0,4.0,0.0,12.0,65.4266958424508,32.0,12.0,41.0,3.0,0.0,0.0,0.0,1.0,987.0,91.6721361988952,0.0,987.0,61.898211829436,26.3424518743668,28.0,4.01785714285714,8.0,38.4437347507242,16843.0554911481,405.545,433.793
D1 favorito,1,4,Presion alta,Contragolpe,77191,true,43.0,1.0,0.25905061542106,1.00854700854701,5.61904761904762,3.0,3.0,0.0,9.0,55.125284738041,42.0,13.0,50.0,5.0,0.0,0.0,2.0,0.0,982.0,90.8860963386152,0.0,982.0,58.1117021276596,23.4215885947047,25.0,4.37,7.0,42.0104720077394,18054.5600983333,410.591,452.228
D1 favorito,1,4,Presion alta,Contragolpe,77204,true,37.0,3.0,0.24536081177577,0.9950495049505,5.91176470588235,5.0,5.0,0.0,9.0,60.7438016528926,35.0,22.0,46.0,3.0,0.0,0.0,2.0,1.0,1006.0,90.4849333453565,0.0,1006.0,63.1716906946265,24.155069582505,33.0,3.65151515151515,8.0,39.8207998077925,17515.0579179298,398.862,441.694
D1 favorito,1,4,Presion alta,Contragolpe,77217,true,32.0,2.0,0.26221833586747,0.99444444444444,5.96666666666667,7.0,7.0,0.0,8.0,64.8275862068966,28.0,16.0,39.0,3.0,0.0,0.0,1.0,0.0,1015.0,90.4085253951219,0.0,1015.0,62.3906705539359,32.4137931034483,31.0,3.45161290322581,5.0,37.8005204597831,16126.7845141507,387.502,426.617
D1 favorito,1,4,Presion alta,Contragolpe,77230,true,34.0,2.0,0.23003474797233,0.97395833333333,5.84375,6.0,6.0,0.0,11.0,63.3333333333333,32.0,12.0,43.0,5.0,0.0,0.0,4.0,0.0,990.0,91.6248220233194,0.0,990.0,58.392101551481,28.3838383838384,27.0,3.83333333333333,5.0,40.8526415553718,16532.7079963103,393.919,427.479
D1 favorito,1,4,Presion alta,Contragolpe,77243,true,31.0,1.0,0.25246463539682,1.00595238095238,5.63333333333333,4.0,4.0,0.0,11.0,67.5174013921114,27.0,22.0,46.0,4.0,0.0,0.0,0.0,0.0,1031.0,90.44526301323,0.0,1031.0,56.67107001321,26.5761396702231,31.0,3.45967741935484,5.0,41.4703388038701,17244.8531102472,416.672,460.972
D1 tapado,4,1,Tiki taka,Juego directo,77100,true,47.0,2.0,0.21470382579648,0.94642857142857,4.71111111111111,4.0,2.0,2.0,9.0,48.6352357320099,44.0,13.0,57.0,3.0,0.0,1.0,2.0,0.0,969.0,92.4504753918246,0.0,969.0,55.0068587105624,24.7678018575851,30.0,3.34166666666667,7.0,40.3689803028177,17756.1422925406,386.23,434.828
