div | goles | remates | >20m | >25m | al arco | conversion | dist p50/p90
 10 |  1.50 |     6.0 |  39% |  10% |     54% |      24.1% | 18/25
  5 |  1.67 |     6.5 |  35% |   8% |     57% |      24.3% | 18/25
  1 |  1.52 |     7.0 |  38% |  10% |     58% |      19.6% | 18/25
distancia | tiro | remates | goles | conversion
     0-11 |  1-39 |      26 |     6 | 23.1%
     0-11 | 40-69 |      57 |    13 | 22.8%
     0-11 | 70-99 |      68 |    14 | 20.6%
    11-18 |  1-39 |      93 |     9 | 9.7%
    11-18 | 40-69 |     174 |    47 | 27.0%
    11-18 | 70-99 |     218 |    53 | 24.3%
    18-25 |  1-39 |     158 |    19 | 12.0%
    18-25 | 40-69 |     257 |    41 | 16.0%
    18-25 | 70-99 |     299 |    62 | 20.7%
      25+ |  1-39 |      21 |     2 | 9.5%
      25+ | 40-69 |      71 |    15 | 21.1%
      25+ | 70-99 |      66 |    11 | 16.7%
Calidad geométrica (no xG) | tipo | intentos | goles | bloqueos | conversión
[0.0,0.2) | cabezazo | 112 | 29 | 0 | 25.9%
[0.2,0.4) | cabezazo | 95 | 32 | 0 | 33.7%
[0.4,0.6) | cabezazo | 131 | 47 | 0 | 35.9%
[0.6,0.8) | cabezazo | 49 | 26 | 0 | 53.1%
[0.8,1.0] | cabezazo | 6 | 4 | 0 | 66.7%
[0.0,0.2) | tiro | 366 | 53 | 53 | 14.5%
[0.2,0.4) | tiro | 672 | 130 | 105 | 19.3%
[0.4,0.6) | tiro | 338 | 74 | 39 | 21.9%
[0.6,0.8) | tiro | 104 | 32 | 9 | 30.8%
[0.8,1.0] | tiro | 28 | 3 | 0 | 10.7%
[0.0,0.2) | tiros_libres | 33 | 4 | 16 | 12.1%
[0.2,0.4) | tiros_libres | 13 | 5 | 7 | 38.5%
[0.4,0.6) | tiros_libres | 2 | 1 | 0 | 50.0%
