div | goles | remates | >20m | >25m | al arco | conversion | dist p50/p90
 10 |  1.79 |     5.8 |  41% |  11% |     56% |      29.5% | 19/25
  5 |  2.12 |     6.4 |  36% |   8% |     56% |      31.7% | 18/24
  1 |  2.12 |     7.3 |  38% |  11% |     56% |      27.3% | 18/25
distancia | tiro | remates | goles | conversion
     0-11 |  1-39 |      19 |     4 | 21.1%
     0-11 | 40-69 |      52 |    18 | 34.6%
     0-11 | 70-99 |      72 |    26 | 36.1%
    11-18 |  1-39 |      91 |    11 | 12.1%
    11-18 | 40-69 |     170 |    51 | 30.0%
    11-18 | 70-99 |     225 |    69 | 30.7%
    18-25 |  1-39 |     158 |    28 | 17.7%
    18-25 | 40-69 |     254 |    53 | 20.9%
    18-25 | 70-99 |     311 |    90 | 28.9%
      25+ |  1-39 |      20 |     5 | 25.0%
      25+ | 40-69 |      78 |    19 | 24.4%
      25+ | 70-99 |      74 |    12 | 16.2%
Calidad geométrica (no xG) | tipo | intentos | goles | bloqueos | conversión
[0.0,0.2) | cabezazo | 105 | 42 | 0 | 40.0%
[0.2,0.4) | cabezazo | 95 | 42 | 0 | 44.2%
[0.4,0.6) | cabezazo | 126 | 63 | 0 | 50.0%
[0.6,0.8) | cabezazo | 43 | 22 | 0 | 51.2%
[0.8,1.0] | cabezazo | 5 | 4 | 0 | 80.0%
[0.0,0.2) | tiro | 372 | 76 | 53 | 20.4%
[0.2,0.4) | tiro | 685 | 170 | 114 | 24.8%
[0.4,0.6) | tiro | 346 | 98 | 51 | 28.3%
[0.6,0.8) | tiro | 95 | 32 | 8 | 33.7%
[0.8,1.0] | tiro | 26 | 10 | 0 | 38.5%
[0.0,0.2) | tiros_libres | 36 | 8 | 14 | 22.2%
[0.2,0.4) | tiros_libres | 15 | 6 | 8 | 40.0%
[0.4,0.6) | tiros_libres | 2 | 1 | 0 | 50.0%
