escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,0.0,0.0,0.0,9.0,45.0471698113208,47.0,13.0,66.0,1.0,0.0,1.0,0.0,0.0,960.0,97.3163636363636,0.0,960.0,50.4773269689737,12.7083333333333,32.0,3.3046875,4.0,22492.9993323771,397.099,426.25
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,1.0,0.0,1.0,10.0,52.5423728813559,38.0,18.0,62.0,2.0,1.0,1.0,1.0,0.0,960.0,95.6570909090909,0.0,960.0,52.6992287917738,18.9583333333333,35.0,2.92857142857143,8.0,20516.9613286738,367.981,484.246
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,2.0,1.0,1.0,8.0,51.5228426395939,51.0,9.0,63.0,2.0,0.0,0.0,0.0,0.0,1003.0,95.8305454545455,0.0,1003.0,46.9951923076923,17.048853439681,26.0,3.75961538461538,3.0,21371.3943926961,456.711,475.681
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,2.0,2.0,0.0,8.0,54.4052863436123,42.0,17.0,64.0,3.0,0.0,0.0,2.0,0.0,998.0,93.1632727272727,0.0,998.0,57.4712643678161,21.5430861723447,35.0,3.21428571428571,9.0,18728.6300150216,431.36,478.822
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,0.0,0.0,0.0,8.0,49.2929292929293,45.0,22.0,68.0,1.0,0.0,0.0,1.0,0.0,967.0,94.7112727272727,0.0,967.0,55.4433221099888,7.8593588417787,42.0,2.94047619047619,10.0,23572.8673169653,452.024,483.354
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,4.0,3.0,1.0,12.0,43.7054631828979,42.0,14.0,56.0,1.0,0.0,0.0,1.0,0.0,1013.0,93.7687272727273,0.0,1013.0,52.4344569288389,20.9279368213228,37.0,2.83783783783784,6.0,20586.2534001497,423.747,473.467
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,2.0,2.0,0.0,9.0,52.9113924050633,44.0,9.0,58.0,2.0,0.0,0.0,1.0,0.0,964.0,96.0138181818182,0.0,964.0,50.0,18.2572614107884,27.0,3.64814814814815,6.0,20930.1665460693,413.752,450.075
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,6.0,53.3816425120773,33.0,17.0,58.0,3.0,0.0,0.0,1.0,0.0,964.0,94.8650909090909,0.0,964.0,52.5510204081633,18.6721991701245,35.0,2.94285714285714,8.0,20461.5946056155,442.848,448.761
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,10.0,56.0919540229885,46.0,15.0,62.0,3.0,0.0,0.0,1.0,0.0,977.0,94.636,0.0,977.0,51.4827995255041,13.7154554759468,36.0,3.01388888888889,11.0,22286.9342677105,339.685,439.745
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,1.0,1.0,0.0,5.0,48.8095238095238,46.0,19.0,65.0,0.0,0.0,1.0,0.0,0.0,994.0,93.0290909090909,0.0,994.0,58.0161476355248,12.7766599597586,34.0,3.69852941176471,5.0,20618.1901031022,360.293,451.034
