escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,3.0,3.0,0.0,7.0,65.5251141552511,51.0,13.0,68.0,3.0,0.0,1.0,0.0,0.0,1005.0,96.4,0.0,1005.0,57.5757575757576,24.4776119402985,28.0,3.90178571428571,4.0,40.3413347171973,18397.570428001,639.772,707.472
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,1.0,1.0,0.0,6.0,57.5107296137339,45.0,16.0,60.0,2.0,0.0,0.0,2.0,0.0,960.0,94.8421818181818,0.0,960.0,58.0604534005038,17.2916666666667,33.0,3.49242424242424,6.0,41.2645177916382,20090.8138509435,622.167,669.922
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,3.0,2.0,1.0,6.0,50.6666666666667,53.0,14.0,63.0,2.0,0.0,0.0,1.0,0.0,963.0,94.7210909090909,0.0,963.0,56.2107904642409,17.2377985462098,25.0,4.48,2.0,41.4963895750476,20065.1813624917,697.26,759.458
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,1.0,1.0,0.0,7.0,56.8493150684931,56.0,17.0,67.0,1.0,0.0,0.0,0.0,0.0,962.0,91.3501818181818,0.0,962.0,65.0669642857143,6.86070686070686,33.0,4.41666666666667,6.0,36.7133773906223,21367.0493326337,779.257,744.954
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,2.0,0.0,2.0,6.0,50.314465408805,52.0,20.0,70.0,3.0,0.0,1.0,2.0,0.0,984.0,94.1189090909091,0.0,984.0,58.2716049382716,17.6829268292683,31.0,3.80645161290323,7.0,37.1859840940086,20356.0400212424,688.244,717.519
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,2.0,1.0,1.0,9.0,54.1387024608501,50.0,12.0,60.0,2.0,0.0,0.0,2.0,0.0,961.0,93.8570909090909,0.0,961.0,56.5772669220945,18.522372528616,30.0,3.69166666666667,7.0,37.5643669966807,19676.6819367165,706.219,749.769
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,3.0,2.0,1.0,9.0,59.0909090909091,35.0,12.0,50.0,4.0,0.0,0.0,3.0,0.0,960.0,93.7065454545454,0.0,960.0,55.8238636363636,26.6666666666667,28.0,3.50892857142857,4.0,37.2702721652399,18322.821617576,648.957,717.33
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,11.0,49.492385786802,47.0,13.0,62.0,3.0,0.0,0.0,2.0,0.0,971.0,94.5672727272727,0.0,971.0,53.0364372469636,23.686920700309,29.0,3.38793103448276,7.0,40.8964487737372,19578.0538284072,659.084,717.534
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,2.0,2.0,0.0,8.0,53.1468531468531,46.0,15.0,62.0,1.0,0.0,0.0,1.0,0.0,960.0,94.3152727272727,0.0,960.0,52.4691358024691,15.625,33.0,3.21969696969697,7.0,38.2923749623404,20398.8296982837,719.547,781.46
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,1.0,1.0,0.0,7.0,47.3140495867769,47.0,16.0,59.0,2.0,0.0,0.0,0.0,0.0,960.0,93.1370909090909,0.0,960.0,60.6060606060606,17.5,36.0,3.33333333333333,9.0,42.0355837138898,18979.0138915331,686.093,762.525
