escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,3.0,2.0,1.0,10.0,54.6201232032854,56.0,17.0,72.0,1.0,0.0,0.0,0.0,0.0,996.0,94.3414545454546,0.0,996.0,58.9090909090909,17.1686746987952,36.0,3.375,9.0,40.6609239820672,19209.9997587379,713.885,776.603
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,2.0,1.0,1.0,9.0,52.0,41.0,19.0,54.0,4.0,0.0,0.0,2.0,1.0,991.0,92.5774545454545,0.0,991.0,57.8878748370274,22.6034308779011,34.0,3.26470588235294,7.0,39.6617260188088,18296.5543958767,629.959,692.828
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,2.0,1.0,1.0,7.0,54.2372881355932,50.0,18.0,63.0,1.0,0.0,0.0,0.0,0.0,961.0,95.5654545454546,0.0,961.0,58.3436341161928,15.8168574401665,33.0,3.57575757575758,3.0,41.3892860284538,20475.0203419431,704.09,775.623
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,0.0,0.0,0.0,7.0,50.0920810313076,46.0,18.0,56.0,4.0,0.0,0.0,2.0,1.0,1018.0,91.6676363636363,0.0,1018.0,62.1247113163972,14.9312377210216,36.0,3.73611111111111,5.0,37.4331686083497,19851.0515178324,781.09,808.361
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,2.0,1.0,1.0,8.0,47.085201793722,41.0,16.0,61.0,4.0,0.0,0.0,3.0,0.0,960.0,94.6621818181818,0.0,960.0,57.9634464751958,20.2083333333333,33.0,3.36363636363636,6.0,36.6962297128362,19434.0356053576,649.958,719.43
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,1.0,0.0,1.0,10.0,54.2035398230088,47.0,17.0,65.0,3.0,0.0,0.0,1.0,0.0,960.0,93.6836363636364,0.0,960.0,56.8010075566751,17.2916666666667,33.0,3.41666666666667,4.0,38.2964477892043,19943.5410419125,699.821,762.059
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,4.0,1.0,3.0,8.0,56.5432098765432,51.0,6.0,58.0,2.0,0.0,1.0,0.0,0.0,965.0,95.8305454545455,0.0,965.0,53.9083557951482,23.1088082901554,29.0,3.44827586206897,5.0,38.7863398645089,18643.9469505207,677.568,727.521
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,1.0,1.0,0.0,11.0,52.1518987341772,49.0,9.0,61.0,3.0,0.0,0.0,1.0,0.0,966.0,96.1578181818182,0.0,966.0,52.2606382978723,22.1532091097308,20.0,4.9125,2.0,39.3321459473216,19600.5502349795,635.889,710.155
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,0.0,1.0,11.0,48.3370288248337,44.0,16.0,54.0,3.0,0.0,0.0,0.0,0.0,962.0,93.8145454545454,0.0,962.0,56.8702290076336,18.2952182952183,35.0,3.19285714285714,9.0,39.0554063397499,19982.8817652897,687.797,729.028
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,4.0,4.0,0.0,11.0,60.36866359447,47.0,13.0,62.0,1.0,0.0,1.0,1.0,0.0,960.0,95.2741818181818,0.0,960.0,58.1208053691275,22.3958333333333,30.0,3.60833333333333,6.0,36.498199589001,18750.9295852181,651.426,693.852
