escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,3.0,3.0,0.0,7.0,65.5251141552511,51.0,13.0,68.0,3.0,0.0,1.0,0.0,0.0,1005.0,96.4,0.0,1005.0,57.5757575757576,24.4776119402985,28.0,3.90178571428571,4.0,40.3390001632074,18397.1143677196,416.127,417.967
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,1.0,1.0,0.0,7.0,60.0877192982456,51.0,15.0,63.0,3.0,0.0,0.0,3.0,0.0,960.0,95.2905454545455,0.0,960.0,57.0707070707071,17.5,28.0,4.03571428571429,5.0,40.8897917514255,20364.5392278592,391.375,407.129
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,2.0,2.0,0.0,8.0,50.5643340857788,52.0,9.0,61.0,1.0,0.0,0.0,1.0,0.0,960.0,94.744,0.0,960.0,53.6674816625917,14.7916666666667,27.0,4.06481481481481,4.0,41.4866339970287,20769.8397303484,397.713,428.335
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,3.0,1.0,2.0,9.0,53.448275862069,43.0,21.0,62.0,7.0,0.0,0.0,6.0,1.0,1000.0,93.1436363636364,0.0,1000.0,59.5555555555556,32.5,35.0,2.87142857142857,10.0,36.3954110145445,16205.2840734866,341.058,378.76
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,2.0,2.0,0.0,6.0,52.7410207939509,45.0,21.0,61.0,3.0,0.0,1.0,1.0,0.0,960.0,92.5381818181818,0.0,960.0,66.8354430379747,17.7083333333333,32.0,4.125,2.0,37.0320756962685,19856.878650052,401.059,446.244
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,1.0,0.0,1.0,10.0,53.862660944206,53.0,14.0,65.0,2.0,0.0,0.0,1.0,0.0,960.0,94.4396363636364,0.0,960.0,55.6490384615385,13.3333333333333,31.0,3.73387096774194,7.0,40.2292870124353,20948.7322631587,399.089,448.948
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,3.0,2.0,1.0,10.0,57.9462102689487,38.0,11.0,52.0,3.0,0.0,0.0,2.0,0.0,961.0,93.6476363636364,0.0,961.0,56.4673157162726,25.1821019771072,28.0,3.625,4.0,37.7878584753789,18825.3710466359,361.771,414.213
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,3.0,3.0,0.0,11.0,48.5175202156334,49.0,7.0,64.0,2.0,0.0,0.0,1.0,0.0,960.0,97.1821818181818,0.0,960.0,51.2430939226519,24.5833333333333,21.0,4.41666666666667,2.0,41.611100851231,18676.6346772447,342.982,381.248
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,8.0,53.1313131313131,46.0,22.0,64.0,0.0,0.0,0.0,0.0,0.0,961.0,94.3807272727273,0.0,961.0,57.0104287369641,10.1977107180021,41.0,3.0,10.0,39.6383817804357,21339.2142234569,417.135,481.395
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,0.0,0.0,0.0,9.0,51.0679611650485,53.0,20.0,66.0,2.0,0.0,0.0,1.0,0.0,1042.0,92.5218181818182,0.0,1042.0,60.3305785123967,18.7140115163148,38.0,3.36184210526316,11.0,41.8348612420383,17698.8706401156,450.821,468.162
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,1.0,1.0,0.0,7.0,43.5955056179775,37.0,15.0,47.0,6.0,0.0,1.0,1.0,0.0,965.0,90.9378181818182,0.0,965.0,60.3851444291609,24.6632124352332,31.0,3.54032258064516,3.0,41.8096820189768,19554.288078713,367.877,421.018
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,1.0,0.0,1.0,11.0,52.0576131687243,52.0,10.0,63.0,1.0,0.0,0.0,1.0,0.0,997.0,94.9272727272727,0.0,997.0,57.6331360946746,15.2457372116349,28.0,4.34821428571429,5.0,37.7614743145595,20434.0141734673,402.21,443.563
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,1.0,1.0,0.0,6.0,56.3461538461538,35.0,13.0,49.0,4.0,0.0,0.0,1.0,0.0,965.0,91.1374545454545,0.0,965.0,63.0674846625767,15.5440414507772,31.0,4.14516129032258,4.0,40.9633924891443,20197.2504296722,382.02,437.89
