escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,3.0,2.0,1.0,9.0,49.0950226244344,46.0,21.0,66.0,0.0,0.0,0.0,0.0,0.0,962.0,95.5752727272727,0.0,962.0,53.125,13.5135135135135,35.0,3.15714285714286,5.0,21158.8304852545,341.432,363.1
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,0.0,0.0,0.0,8.0,51.3574660633484,45.0,16.0,57.0,3.0,0.0,0.0,2.0,1.0,981.0,95.0843636363636,0.0,981.0,53.6196319018405,16.9215086646279,34.0,3.21323529411765,5.0,19466.8249508659,291.454,331.338
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,3.0,0.0,3.0,12.0,43.2098765432099,44.0,13.0,58.0,4.0,1.0,0.0,0.0,0.0,961.0,95.5163636363636,0.0,961.0,50.8838383838384,17.585848074922,32.0,3.1484375,7.0,20391.9664042827,293.257,332.572
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,1.0,1.0,0.0,12.0,44.3207126948775,43.0,13.0,59.0,4.0,0.0,1.0,3.0,1.0,998.0,90.4992727272727,0.0,998.0,55.9343434343434,20.6412825651303,34.0,3.25735294117647,6.0,19503.8973346705,295.988,335.357
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,5.0,3.0,2.0,14.0,51.3253012048193,47.0,11.0,57.0,0.0,0.0,0.0,0.0,0.0,972.0,93.34,0.0,972.0,53.6269430051813,20.5761316872428,33.0,3.13636363636364,6.0,20318.5927975307,301.947,327.046
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,5.0,2.0,3.0,11.0,53.125,48.0,15.0,61.0,4.0,0.0,0.0,1.0,0.0,994.0,93.0290909090909,0.0,994.0,57.2815533980583,27.4647887323944,35.0,2.95,9.0,18092.8962575222,290.913,338.273
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,4.0,3.0,1.0,9.0,47.9487179487179,45.0,19.0,62.0,3.0,0.0,0.0,1.0,0.0,976.0,95.7978181818182,0.0,976.0,50.9259259259259,22.5409836065574,33.0,2.91666666666667,3.0,19480.1390442571,285.195,333.146
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,1.0,0.0,1.0,6.0,48.0916030534351,39.0,16.0,56.0,6.0,1.0,1.0,2.0,0.0,989.0,94.2858181818182,0.0,989.0,49.4871794871795,21.1324570273003,34.0,2.83823529411765,7.0,20744.6415846778,296.561,333.733
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,2.0,2.0,0.0,11.0,46.4373464373464,50.0,11.0,56.0,1.0,0.0,0.0,1.0,0.0,985.0,94.8585454545454,0.0,985.0,49.691738594328,17.6649746192893,30.0,3.35833333333333,5.0,21567.8728322739,319.343,347.745
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,6.0,6.0,0.0,11.0,61.4699331848552,45.0,18.0,60.0,1.0,0.0,1.0,0.0,0.0,997.0,90.8396363636364,0.0,997.0,60.8458390177353,26.4794383149448,39.0,2.85897435897436,11.0,15822.6658085666,310.443,343.658
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,3.0,2.0,1.0,8.0,52.2673031026253,40.0,14.0,54.0,3.0,0.0,0.0,1.0,0.0,962.0,93.0847272727273,0.0,962.0,54.7493403693931,21.2058212058212,35.0,2.96428571428571,6.0,19500.4747413332,280.405,318.29
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,2.0,0.0,2.0,10.0,44.7488584474886,50.0,9.0,59.0,2.0,0.0,0.0,1.0,0.0,980.0,95.032,0.0,980.0,53.4969325153374,16.8367346938776,28.0,3.89285714285714,2.0,21204.278834639,306.889,344.136
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,1.0,1.0,0.0,9.0,50.2835538752363,40.0,15.0,52.0,2.0,0.0,0.0,0.0,0.0,977.0,91.0523636363636,0.0,977.0,60.3665521191294,10.6448311156602,35.0,3.76428571428571,6.0,21646.3074292505,315.299,359.809
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,0.0,0.0,0.0,12.0,51.0791366906475,38.0,12.0,50.0,2.0,0.0,0.0,2.0,0.0,966.0,94.9403636363636,0.0,966.0,51.7456359102244,16.9772256728778,29.0,3.57758620689655,4.0,20457.4150421228,288.079,317.772
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,1.0,1.0,0.0,8.0,50.7177033492823,47.0,10.0,56.0,1.0,0.0,0.0,1.0,0.0,960.0,94.924,0.0,960.0,51.6129032258064,16.0416666666667,26.0,4.0,4.0,20216.8549209902,301.872,337.483
D1 parejo,1,1,Presion alta,Contragolpe,77139,true,0.0,0.0,0.0,10.0,50.6024096385542,38.0,20.0,51.0,2.0,0.0,0.0,1.0,0.0,998.0,90.4272727272727,0.0,998.0,56.8807339449541,12.625250501002,39.0,3.17948717948718,5.0,21296.8320431283,325.761,362.81
D1 parejo,1,1,Presion alta,Contragolpe,77152,true,3.0,3.0,0.0,8.0,56.9002123142251,40.0,20.0,46.0,5.0,1.0,0.0,2.0,0.0,960.0,92.1487272727273,0.0,960.0,63.2791327913279,23.125,37.0,3.15540540540541,6.0,19042.4824880089,300.12,327.002
D1 parejo,1,1,Presion alta,Contragolpe,77165,true,1.0,1.0,0.0,11.0,50.5446623093682,41.0,23.0,54.0,3.0,0.0,0.0,1.0,0.0,1051.0,91.6283636363636,0.0,1051.0,54.8736462093863,20.9324452901998,41.0,2.78048780487805,7.0,20441.3596286163,326.296,367.873
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,4.0,4.0,0.0,11.0,59.3264248704663,32.0,16.0,45.0,1.0,0.0,0.0,1.0,0.0,961.0,93.9683636363636,0.0,961.0,51.9568151147099,22.8928199791883,31.0,3.10483870967742,3.0,19752.8194658782,280.592,311.959
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,1.0,1.0,0.0,8.0,49.4252873563218,46.0,17.0,60.0,2.0,0.0,0.0,2.0,0.0,971.0,93.7687272727273,0.0,971.0,52.4848484848485,15.0360453141092,30.0,3.60833333333333,5.0,21588.4606195464,300.858,331.405
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,3.0,3.0,0.0,7.0,50.0,42.0,19.0,51.0,3.0,1.0,0.0,1.0,0.0,969.0,92.8032727272727,0.0,969.0,56.1381074168798,19.2982456140351,33.0,3.32575757575758,7.0,20359.8613933406,308.792,333.298
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,1.0,1.0,0.0,7.0,59.2841163310962,37.0,13.0,45.0,3.0,0.0,0.0,1.0,0.0,968.0,91.9294545454545,0.0,968.0,56.4102564102564,19.4214876033058,30.0,3.66666666666667,6.0,19352.2773451983,288.54,331.883
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,2.0,2.0,0.0,11.0,57.4358974358974,42.0,4.0,49.0,3.0,0.0,0.0,1.0,0.0,962.0,93.9978181818182,0.0,962.0,49.6143958868895,19.1268191268191,25.0,3.86,2.0,19563.9720653832,273.272,305.895
D1 parejo,1,1,Presion alta,Contragolpe,77243,true,2.0,1.0,1.0,11.0,52.262443438914,40.0,12.0,51.0,1.0,0.0,0.0,0.0,0.0,996.0,93.8505454545454,0.0,996.0,53.9877300613497,18.1726907630522,30.0,3.66666666666667,5.0,19433.7986088629,296.446,333.112
D1 favorito,1,4,Tiki taka,Juego directo,77100,true,8.0,8.0,0.0,11.0,59.1954022988506,34.0,20.0,47.0,4.0,0.0,0.0,1.0,0.0,997.0,90.1916363636364,0.0,997.0,54.7770700636943,37.0110330992979,29.0,2.96551724137931,6.0,15130.5764517166,250.863,281.544
D1 favorito,1,4,Tiki taka,Juego directo,77113,true,8.0,8.0,0.0,9.0,64.9122807017544,39.0,16.0,50.0,2.0,1.0,1.0,2.0,0.0,970.0,90.7872727272727,0.0,970.0,52.34375,34.020618556701,30.0,2.79166666666667,6.0,15959.0908595117,240.019,276.596
D1 favorito,1,4,Tiki taka,Juego directo,77126,true,2.0,2.0,0.0,10.0,54.0983606557377,53.0,20.0,65.0,1.0,0.0,0.0,0.0,0.0,966.0,91.8705454545455,0.0,966.0,57.5829383886256,12.6293995859213,37.0,3.28378378378378,6.0,19463.636149608,318.48,350.098
D1 favorito,1,4,Tiki taka,Juego directo,77139,true,3.0,3.0,0.0,15.0,45.9459459459459,42.0,24.0,55.0,4.0,0.0,0.0,2.0,0.0,1038.0,89.6647272727273,0.0,1038.0,58.2132564841499,33.140655105973,42.0,2.4047619047619,16.0,16342.9935097742,272.119,310.22
D1 favorito,1,4,Tiki taka,Juego directo,77152,true,7.0,6.0,1.0,14.0,55.5299539170507,60.0,19.0,73.0,0.0,0.0,0.0,0.0,0.0,960.0,91.6316363636364,0.0,960.0,59.6153846153846,24.1666666666667,33.0,3.28787878787879,9.0,17869.4872165454,285.565,316.108
D1 favorito,1,4,Tiki taka,Juego directo,77165,true,3.0,3.0,0.0,11.0,51.8181818181818,48.0,19.0,68.0,7.0,0.0,0.0,2.0,1.0,988.0,92.0472727272727,0.0,988.0,57.9227696404794,23.9878542510121,37.0,2.93918918918919,8.0,17402.767133752,292.226,325.134
D1 favorito,1,4,Tiki taka,Juego directo,77178,true,5.0,5.0,0.0,13.0,56.9306930693069,46.0,13.0,55.0,3.0,0.0,0.0,1.0,0.0,965.0,91.0818181818182,0.0,965.0,56.558533145275,26.5284974093264,30.0,3.34166666666667,9.0,17746.8116705155,288.062,323.567
D1 favorito,1,4,Tiki taka,Juego directo,77191,true,6.0,6.0,0.0,12.0,55.3072625698324,49.0,19.0,63.0,3.0,0.0,2.0,3.0,0.0,968.0,91.3272727272727,0.0,968.0,55.0925925925926,33.0578512396694,32.0,2.7890625,9.0,16071.9717392458,281.971,294.477
D1 favorito,1,4,Tiki taka,Juego directo,77204,true,6.0,6.0,0.0,8.0,64.6907216494845,47.0,13.0,62.0,3.0,0.0,1.0,1.0,1.0,986.0,93.268,0.0,986.0,53.9106145251397,27.3833671399594,34.0,2.83823529411765,9.0,16911.0710424812,266.706,293.857
D1 favorito,1,4,Tiki taka,Juego directo,77217,true,10.0,10.0,0.0,11.0,70.3081232492997,48.0,10.0,54.0,2.0,0.0,2.0,1.0,0.0,996.0,90.928,0.0,996.0,57.4675324675325,38.1526104417671,27.0,3.27777777777778,3.0,14327.0971683509,249.532,280.465
D1 favorito,1,4,Tiki taka,Juego directo,77230,true,7.0,7.0,0.0,11.0,59.4666666666667,38.0,16.0,49.0,6.0,0.0,0.0,1.0,0.0,960.0,88.4963636363636,0.0,960.0,61.5,37.5,28.0,3.29464285714286,5.0,14251.9438259858,243.125,276.964
D1 favorito,1,4,Tiki taka,Juego directo,77243,true,2.0,2.0,0.0,8.0,61.0972568578554,44.0,15.0,58.0,2.0,0.0,0.0,0.0,0.0,997.0,89.416,0.0,997.0,51.1658031088083,22.567703109328,31.0,3.18548387096774,6.0,17682.0704602957,294.842,319.67
D1 favorito,1,4,Presion alta,Contragolpe,77100,true,5.0,5.0,0.0,10.0,62.0614035087719,35.0,21.0,46.0,4.0,0.0,0.0,1.0,0.0,1006.0,87.724,0.0,1006.0,62.5520110957004,28.3300198807157,31.0,3.63709677419355,6.0,17035.1754876036,278.127,307.577
