escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,1.0,1.0,0.0,7.0,52.9774127310062,51.0,15.0,63.0,3.0,0.0,0.0,0.0,0.0,967.0,94.6621818181818,0.0,967.0,59.3865030674847,15.7187176835574,36.0,3.36111111111111,9.0,40.1214958653839,20118.1638278589,342.184,381.372
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,2.0,1.0,1.0,5.0,55.4140127388535,50.0,12.0,63.0,2.0,1.0,0.0,2.0,0.0,960.0,94.5018181818182,0.0,960.0,57.9012345679012,15.625,26.0,4.50961538461539,5.0,40.7625330167009,19741.1409108908,332.298,367.105
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,1.0,0.0,1.0,8.0,54.7568710359408,55.0,14.0,66.0,1.0,0.0,1.0,0.0,0.0,961.0,95.2283636363636,0.0,961.0,57.0397111913357,13.5275754422477,33.0,3.59090909090909,5.0,42.4688380315229,20047.6876691051,348.71,386.287
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,2.0,1.0,1.0,5.0,55.3752535496957,47.0,18.0,62.0,2.0,0.0,0.0,1.0,0.0,961.0,92.9374545454545,0.0,961.0,59.5615103532278,14.5681581685744,34.0,3.59558823529412,5.0,37.0374120552329,19965.9721820809,348.823,386.269
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,2.0,1.0,1.0,7.0,54.020618556701,53.0,14.0,62.0,2.0,0.0,0.0,2.0,0.0,970.0,94.0927272727273,0.0,970.0,58.5454545454545,14.9484536082474,33.0,3.65909090909091,4.0,36.3769540189665,21229.2255313159,351.446,384.683
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,2.0,0.0,2.0,7.0,50.418410041841,48.0,21.0,62.0,4.0,1.0,0.0,1.0,0.0,964.0,91.7396363636364,0.0,964.0,60.4325699745547,18.4647302904564,36.0,3.29861111111111,9.0,37.7828798986056,20183.3309611799,340.526,371.466
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,2.0,2.0,0.0,8.0,54.233409610984,52.0,12.0,69.0,4.0,0.0,0.0,1.0,0.0,994.0,94.7669090909091,0.0,994.0,55.2598225602028,20.6237424547284,25.0,4.36,4.0,38.2458045442079,18673.1762519762,337.566,369.251
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,2.0,2.0,0.0,11.0,48.3460559796438,51.0,13.0,65.0,4.0,0.0,0.0,3.0,0.0,966.0,95.6407272727273,0.0,966.0,51.3089005235602,20.9109730848861,30.0,3.26666666666667,7.0,40.2161899342069,19943.6472612328,316.326,348.125
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,1.0,1.0,0.0,7.0,46.5934065934066,45.0,23.0,67.0,2.0,0.0,0.0,1.0,1.0,992.0,94.3545454545455,0.0,992.0,53.2314923619271,14.2137096774194,38.0,2.98026315789474,9.0,38.2409250903121,20487.5728786138,329.225,361.278
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,2.0,2.0,0.0,9.0,62.9032258064516,55.0,18.0,69.0,1.0,0.0,1.0,0.0,0.0,960.0,94.132,0.0,960.0,60.4141291108404,14.4791666666667,33.0,3.75757575757576,4.0,40.8639937232489,20023.3940775389,342.865,373.607
