escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 parejo,1,1,Tiki taka,Juego directo,77100,true,1.0,0.0,1.0,9.0,51.3457556935818,50.0,15.0,67.0,3.0,1.0,0.0,0.0,0.0,971.0,95.6570909090909,0.0,971.0,57.4519230769231,14.3151390319258,34.0,3.51470588235294,8.0,40.3852644872247,20620.618596421,351.584,383.661
D1 parejo,1,1,Tiki taka,Juego directo,77113,true,0.0,0.0,0.0,8.0,55.3571428571429,46.0,27.0,69.0,1.0,0.0,0.0,0.0,0.0,968.0,95.2872727272727,0.0,968.0,57.9676674364896,10.5371900826446,43.0,2.91860465116279,13.0,40.7952218569252,21592.2393176859,361.446,394.419
D1 parejo,1,1,Tiki taka,Juego directo,77126,true,2.0,0.0,2.0,10.0,41.7690417690418,41.0,15.0,57.0,2.0,0.0,1.0,0.0,0.0,1010.0,95.1596363636364,0.0,1010.0,50.5,20.7920792079208,34.0,2.97058823529412,9.0,40.1687121508096,20179.6939267324,342.854,389.334
D1 parejo,1,1,Tiki taka,Juego directo,77139,true,0.0,0.0,0.0,5.0,47.6953907815631,47.0,21.0,63.0,5.0,1.0,0.0,2.0,0.0,960.0,92.1323636363636,0.0,960.0,60.8374384236453,15.4166666666667,33.0,3.74242424242424,8.0,36.3905522338763,20543.1639646473,354.64,387.514
D1 parejo,1,1,Tiki taka,Juego directo,77152,true,3.0,1.0,2.0,8.0,47.5049900199601,44.0,24.0,59.0,2.0,0.0,0.0,2.0,0.0,971.0,93.5985454545454,0.0,971.0,62.0174346201743,17.3017507723996,42.0,2.96428571428571,8.0,36.8703301822001,19890.1481961553,355.9,386.521
D1 parejo,1,1,Tiki taka,Juego directo,77165,true,4.0,2.0,2.0,9.0,54.5081967213115,51.0,21.0,61.0,2.0,0.0,0.0,0.0,0.0,994.0,90.8134545454545,0.0,994.0,62.1966794380588,21.2273641851107,36.0,3.38194444444444,6.0,38.4783939297944,18553.9117130684,353.424,387.883
D1 parejo,1,1,Tiki taka,Juego directo,77178,true,2.0,2.0,0.0,7.0,58.7053571428571,49.0,18.0,70.0,2.0,0.0,1.0,1.0,0.0,1004.0,96.0923636363636,0.0,1004.0,55.2795031055901,19.8207171314741,35.0,3.17857142857143,9.0,39.0530602748921,20978.6731726664,352.429,387.14
D1 parejo,1,1,Tiki taka,Juego directo,77191,true,3.0,3.0,0.0,7.0,57.4468085106383,50.0,8.0,61.0,1.0,0.0,0.0,0.0,0.0,963.0,95.2283636363636,0.0,963.0,47.5095785440613,18.6915887850467,25.0,3.72,4.0,40.9279772790756,20158.422410733,327.726,360.445
D1 parejo,1,1,Tiki taka,Juego directo,77204,true,2.0,1.0,1.0,9.0,53.3512064343164,44.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,960.0,94.9010909090909,0.0,960.0,48.9389920424403,21.4583333333333,23.0,4.01086956521739,5.0,36.5512400684767,19451.2360194034,318.478,352.248
D1 parejo,1,1,Tiki taka,Juego directo,77217,true,3.0,2.0,1.0,7.0,57.3469387755102,45.0,16.0,55.0,5.0,0.0,0.0,2.0,0.0,996.0,91.3829090909091,0.0,996.0,63.9735099337748,24.1967871485944,33.0,3.65909090909091,3.0,40.2439886572054,16306.5835937886,337.747,371.672
D1 parejo,1,1,Tiki taka,Juego directo,77230,true,1.0,0.0,1.0,10.0,42.7616926503341,36.0,18.0,48.0,5.0,0.0,1.0,2.0,0.0,962.0,91.6545454545455,0.0,962.0,59.121171770972,21.9334719334719,36.0,3.08333333333333,10.0,42.4942039986314,19443.3199447258,330.613,376.793
D1 parejo,1,1,Tiki taka,Juego directo,77243,true,2.0,0.0,2.0,10.0,54.9773755656109,52.0,15.0,69.0,1.0,0.0,0.0,1.0,0.0,1002.0,92.6756363636363,0.0,1002.0,52.511961722488,16.5668662674651,34.0,3.22794117647059,8.0,39.0928691128805,20287.413046445,372.694,438.128
D1 parejo,1,1,Presion alta,Contragolpe,77100,true,0.0,0.0,0.0,6.0,53.4632034632035,40.0,12.0,51.0,4.0,0.0,0.0,2.0,0.0,963.0,92.8196363636364,0.0,963.0,57.6679340937896,18.0685358255452,28.0,4.0625,5.0,41.4214450379267,19212.0266742952,341.518,389.033
D1 parejo,1,1,Presion alta,Contragolpe,77113,true,1.0,0.0,1.0,8.0,49.4089834515366,35.0,17.0,45.0,6.0,1.0,0.0,5.0,0.0,960.0,92.4530909090909,0.0,960.0,58.0779944289694,25.2083333333333,30.0,3.475,8.0,40.9486806269982,18099.298625733,312.573,349.757
D1 parejo,1,1,Presion alta,Contragolpe,77126,true,1.0,1.0,0.0,6.0,58.675799086758,41.0,12.0,52.0,5.0,0.0,0.0,3.0,0.0,1014.0,94.06,0.0,1014.0,55.1020408163265,22.6824457593688,27.0,4.0,5.0,41.9915297200909,19635.1293977266,349.911,386.544
D1 parejo,1,1,Presion alta,Contragolpe,77139,true,2.0,1.0,1.0,8.0,48.7654320987654,36.0,19.0,50.0,3.0,0.0,0.0,2.0,0.0,985.0,89.1541818181818,0.0,985.0,61.9047619047619,21.1167512690355,32.0,3.7578125,7.0,37.4802414787558,17323.4083320027,354.846,389.021
D1 parejo,1,1,Presion alta,Contragolpe,77152,true,1.0,1.0,0.0,8.0,49.1379310344828,31.0,26.0,44.0,7.0,0.0,0.0,4.0,0.0,964.0,90.5287272727273,0.0,964.0,62.7049180327869,24.0663900414938,41.0,2.79878048780488,8.0,38.1404772164759,18958.7940655062,344.352,382.428
D1 parejo,1,1,Presion alta,Contragolpe,77165,true,2.0,2.0,0.0,8.0,56.5126050420168,43.0,21.0,54.0,2.0,0.0,0.0,0.0,0.0,1004.0,93.1469090909091,0.0,1004.0,59.0511860174782,20.2191235059761,41.0,2.88414634146341,10.0,39.4116421074359,19824.1679762792,371.913,398.36
D1 parejo,1,1,Presion alta,Contragolpe,77178,true,2.0,2.0,0.0,8.0,57.2706935123042,34.0,23.0,51.0,3.0,0.0,0.0,0.0,0.0,997.0,92.1945454545455,0.0,997.0,58.5978835978836,24.172517552658,36.0,3.07638888888889,6.0,40.1150641662508,19116.6245461544,352.438,397.229
D1 parejo,1,1,Presion alta,Contragolpe,77191,true,1.0,1.0,0.0,11.0,56.651376146789,44.0,13.0,60.0,0.0,0.0,0.0,0.0,0.0,960.0,94.5869090909091,0.0,960.0,51.7814726840855,12.2916666666667,30.0,3.63333333333333,4.0,42.9693346102195,21413.415934861,362.372,392.12
D1 parejo,1,1,Presion alta,Contragolpe,77204,true,2.0,2.0,0.0,7.0,60.2620087336245,37.0,24.0,50.0,5.0,0.0,0.0,2.0,0.0,972.0,91.9850909090909,0.0,972.0,58.3011583011583,20.0617283950617,35.0,3.23571428571429,11.0,40.1310195752897,19335.1204376296,350.446,382.646
D1 parejo,1,1,Presion alta,Contragolpe,77217,true,4.0,4.0,0.0,8.0,57.8740157480315,39.0,17.0,48.0,2.0,0.0,0.0,1.0,0.0,969.0,90.6432727272727,0.0,969.0,62.7791563275434,16.8214654282766,31.0,4.08064516129032,6.0,39.3429393189747,19730.1389171547,359.503,391.482
D1 parejo,1,1,Presion alta,Contragolpe,77230,true,2.0,1.0,1.0,9.0,48.6046511627907,37.0,13.0,47.0,5.0,0.0,0.0,2.0,0.0,973.0,91.9589090909091,0.0,973.0,56.6621803499327,23.6382322713258,30.0,3.50833333333333,8.0,43.3068472834009,18390.5763033856,324.702,361.995
